"НАЗВАНИЕ";"ОКВЭД";"№ Нал";"дата";"БАНК";"ФИО ДИРА";"АДРЕС";"Цена"
"ООО ""АРТПРЕСТИЖ""";"74.40";33;28.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"Куркинское ш.";"в налоговой"
"ООО ""МЕДИЦИНСКИЕ ТЕХНОЛОГИИ""";"51.46";24;28.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"ул. Мусы Джалиля";"в налоговой"
"ООО ""ОРИОН""";"51.70";13;28.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"Карельский б-р.";"в налоговой"
"ООО ""ИНКОМСТРОЙ""";"45.21";8;29.05.2014;"без счета";"Гробов Руслан Васильевич";"Красносельский 3-й пер.";"в налоговой"
"ООО ""ЭЛИТ СОФТ""";"51.70";4;29.05.2014;"без счета";"Гробов Руслан Васильевич";"Колымажный пер.";"в налоговой"
"ООО ""НОРД ПРОЕКТ""";"45.21";1;29.05.2014;"без счета";"Гробов Руслан Васильевич";"ул. Фридриха Энгельса";"в налоговой"
"ООО «ОПТИМАЛЬ ПЛЮС»";"51.70";2;29.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"Колокольников пер.";"в налоговой"
"ООО ""ГАРАНТ""";"51.70";10;29.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"ул. Большая Садовая";"в налоговой"
"ООО «СТРОЙМОНОЛИТ»";"45.21";4;29.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"Колымажный пер.";"в налоговой"
"ООО ""СЛАВЯНКА""
";"51.70";8;29.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"Красносельский 3-й пер.";"в налоговой"
"ООО ""ПОРТАЛ""";"51.70";2;29.05.2014;"без счета";"Блинохватова Наталья Ивановна";"Колокольников пер.";"в налоговой"
"ООО «СПЕЦЭНЕРГОСТРОЙ»";"45.21";13;29.05.2014;"без счета";"Блинохватова Наталья Ивановна";"Карельский б-р.";"в налоговой"
"ООО ""АРТЛАЙН""";"74.40";28;29.05.2014;"без счета";"Блинохватова Наталья Ивановна";"ул. Миклухо-Маклая";"в налоговой"
"ООО ""ВЕЛТОН""";"51.70";18;29.05.2014;"без счета";"Кузнецов Константин Николаевич";"ул. Николая Химушина";"в налоговой"
"ООО ""КОНТИНЕНТСТРОЙ""";"45.21";26;29.05.2014;"без счета";"Кузнецов Константин Николаевич";"ул. Нагорная";"в налоговой"
"ООО ""МЕДИАКОМПЛЕКС""";"74.40";43;29.05.2014;"без счета";"Гробов Руслан Васильевич";"ул.Клинская";"в налоговой"
"ООО ""СТРОЙАКТИВ""";"45.21";16;29.05.2014;"без счета";"Гробов Руслан Васильевич";"ул. Будайская";"в налоговой"
"ООО ""СТРОЙМАКС""";"45.21";14;29.05.2014;"без счета";"Гробов Руслан Васильевич";"ул. Беговая";"в налоговой"
"ООО ""КАМЕЛИЯ""";"51.70";28;30.05.2014;"без счета";"Кузнецов Константин Николаевич";"ул. Миклухо-Маклая";"в налоговой"
"ООО ""МАСТЕРСТРОЙ""";"45.21";18;30.05.2014;"без счета";"Кузнецов Константин Николаевич";"ул. Николая Химушина";"в налоговой"
"ООО ""СТРОЙЛЮКС""";04.21;21;30.05.2014;"без счета";"Кузнецов Константин Николаевич";"ул. Хлобыстова";"в налоговой"
"ООО ""АЛЬФАСТРОЙ""";"51.70";26;30.05.2014;"без счета";"Блинохватова Наталья Ивановна";"ул. Нагорная";"в налоговой"
"ООО «ЛАБИРИНТ»";"51.70";16;30.05.2014;"без счета";"Блинохватова Наталья Ивановна";"ул. Будайская";"в налоговой"
"ООО ""МИЛАНЖ""";"51.70";14;30.05.2014;"без счета";"Блинохватова Наталья Ивановна";"ул. Беговая";"в налоговой"
"ООО ""АЗИМУТ""";"51.70";10;30.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"ул. Тверская-Ямская 2-я";"в налоговой"
"ООО ""АНТЕЙ""";"51.70";36;30.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"Ленинский пр-т.";"в налоговой"
"ООО «БАРЬЕР»";"51.70";1;30.05.2014;"без счета";"Эткин Дмитрий Анатольевич";"Чешихинский пр-д.";"в налоговой"
"ООО ""РАССВЕТ""";"51.70";10;02.06.2014;"без счета";"Гробов Руслан Васильевич";"ул. Тверская-Ямская 2-я";"в налоговой"
"ООО «МАГНИТ»";"51.70";36;02.06.2014;"без счета";"Гробов Руслан Васильевич";"Ленинский пр-т.";"в налоговой"
"ООО «ЛОРЕСТ»";"45.21";27;02.06.2014;"без счета";"Блинохватова Наталья Ивановна";"Загородный 6-й пр-д.";"в налоговой"
"ООО ""НИКСОН""";"51.70";33;02.06.2014;"без счета";"Блинохватова Наталья Ивановна";"Куркинское ш.";"в налоговой"
"ООО ""АКРОС""";"51.70";2;02.06.2014;"без счета";"Блинохватова Наталья Ивановна";"Колокольников пер.";"в налоговой"
"ООО ""ЭЛЬБРУС""";"51.70";5;02.06.2014;"без счета";"Петров Игорь Васильевич";"Щипковский 1-й пер.";"в налоговой"
"ООО ""ВЕКТОР ПЛЮС""";"51.70";6;02.06.2014;"без счета";"Петров Игорь Васильевич";"Ленинский пр-т.";"в налоговой"
"ООО «ЭКОЛАЙН»";"51.70";7;02.06.2014;"без счета";"Петров Игорь Васильевич";"ул. Петровка";"в налоговой"
"ООО ""ЭНЕРГОСТРОЙ""";"45.21";1;02.06.2014;"без счета";"Петров Игорь Васильевич";"Чешихинский пр-д.";"в налоговой"
"ООО «БИЗНЕСПРОЕКТ»";"51.70";5;03.06.2014;"без счета";"Панченков Сергей Борисович";"Щипковский 1-й пер.";"в налоговой"
"ООО ""САНДРА""";"51.70";6;03.06.2014;"без счета";"Панченков Сергей Борисович";"Ленинский пр-т.";"в налоговой"
"ООО ""ПРОДТОРГ""";"51.70";4;03.06.2014;"без счета";"Панченков Сергей Борисович";"Колымажный пер.";"в налоговой"
"ООО «ИМПЕРИАЛСТРОЙ»";"45.21";13;03.06.2014;"без счета";"Панченков Сергей Борисович";"ул. Линии Октябрьской Железной Дороги";"в налоговой"
